fips_code,county_name,factor1_score,factor1_decile,factor1_quintile,tech_tablet,tech_smartphone,tech_desklaptop,hb_smoking,hb_alcohol,hb_active,hb_inactive,hb_fv_high,hb_fv_low,hb_obese_percent,oc_good_health,oc_poor_physicalhealth,oc_poor_mentalhealth,dem_women,dem_hispanic,dem_age,dem_veteran,food_desert,walkabilitiy,transit_distance,urban_rural,state,county_code
85707,Pima,10848.704,6,3,,,,33.5,27.200001,25.1,24.200001,13.7,21.9,25.799999,53.700001,9.1000004,17,10.46,14.09,22,60.560001,1,6.3299999,,1,AZ,4019
85708,Pima,10706.821,6,3,82.510002,96.120003,92.160004,33.400002,27.1,25.200001,24.1,13.9,21.799999,25.700001,53.700001,9.1999998,16.9,52.509998,19.41,24,23.07,1,5,,1,AZ,4019
85710,Pima,8453.7402,4,2,57.59,81.129997,76.040001,41.400002,20.5,21.5,27.799999,15,17.4,28.9,48.700001,14.3,13,53.16,26.73,42,12.31,2,12.9,574.50647,1,AZ,4019
85711,Pima,7804.8755,3,2,54.360001,84.989998,72.690002,39.099998,21.799999,21.799999,27.6,14.8,18.700001,29.9,48.099998,13.5,13.5,53.080002,39.959999,36,6.8899999,2,13.73725,432.5105,1,AZ,4019
85712,Pima,6903.3154,2,1,51.73,81.620003,70.529999,39.5,21.1,22.4,26.4,15.5,16.9,28.200001,50.299999,13.4,12.7,52.700001,25.08,42,10.3,0,14.200286,400.07544,1,AZ,4019
85713,Pima,7334.3442,2,1,47.830002,75.980003,61.549999,37.599998,19.9,19.4,31.799999,13.7,21.299999,31.9,40.599998,15.1,12.8,47.939999,67.709999,36,6.8299999,2,12.385555,424.96411,1,AZ,4019
85714,Pima,6478.3813,2,1,47.189999,80.57,58.919998,37.099998,20.1,18.299999,34.200001,13,24.1,33.299999,36.5,15.7,14,52.540001,83.040001,34,6.4400001,2,12.901818,518.70953,1,AZ,4019
85715,Pima,13158.685,8,4,68.959999,88.260002,87.089996,40.900002,20.4,22.299999,26.200001,15.5,16,28.5,51.099998,14.1,12.2,50.23,22.02,48,13.62,0,12.156875,686.85999,1,AZ,4019
85716,Pima,7743.5063,3,2,50.700001,86.029999,78.790001,38.099998,23.200001,23.200001,25.6,15,18,28.4,51.200001,12.5,13.9,50.490002,26.559999,39,8.6499996,0,14.63775,356.03375,1,AZ,4019
85718,Pima,17016.189,10,5,70.709999,86.980003,90.889999,37.799999,19.700001,23.9,23.299999,16.799999,13.4,26.5,55.299999,12.8,10,50.84,13.53,54,9.2200003,0,8.4308338,821.435,1,AZ,4019
85719,Pima,6266.0562,2,1,59.919998,89.5,85.230003,32.200001,25.4,26.200001,23.4,14.7,19.1,24.5,54.900002,10.3,15.3,49.009998,24.860001,23,4.3299999,0,14.765,321.59433,1,AZ,4019
85730,Pima,9726.6895,5,3,60.23,83.43,78.980003,41.400002,21.700001,21.299999,27.799999,14.6,18.299999,30.5,48.299999,14.1,13.7,52.970001,30.41,37,13.72,2,10.348235,569.09808,1,AZ,4019
85735,Pima,9337.0918,4,2,56.490002,79.139999,75.870003,41.400002,20.6,20.299999,28.9,14.4,17.9,31.4,46.599998,15.2,12.3,53.299999,40.779999,49,11.24,2,4.9514284,674.58002,1,AZ,4019
85736,Pima,8150.0322,3,2,40.099998,81.599998,65.68,41.299999,20.9,20.4,28.700001,14.3,18,31.9,46.5,15.2,12.4,48.18,43.349998,48,11.55,1,3.3542857,,2,AZ,4019
85737,Pima,16787.631,9,5,70.029999,87.699997,92.080002,41.299999,20.200001,22,25.5,15.6,14.6,28.799999,52.400002,14.1,11.2,52.98,18.33,55,12.87,0,7.4615383,674.58002,1,AZ,4019
85739,Pinal,12546.761,7,4,68.879997,84.879997,89.82,45.099998,16.5,20.799999,27.799999,15,14.4,28.9,49,16.1,9.8999996,49.389999,13.2,66,15.17,0,4.6258335,,1,AZ,4021
85741,Pima,11545.203,7,4,63.939999,88.330002,86.099998,37.5,23.1,22.799999,24.9,15.4,16.200001,28.5,52.900002,12.3,12.3,50.330002,30.440001,36,10.68,0,10.348261,742.2157,1,AZ,4019
85742,Pima,14764.245,9,5,74.18,90.910004,92.260002,39.5,22.799999,22.4,25,15.5,15.7,29.200001,53,12.9,12.2,51.119999,28.799999,41,10.76,0,6.186111,830.15002,1,AZ,4019
85743,Pima,13649.607,8,4,75.18,88.730003,89.830002,42.799999,21.5,20.700001,27.6,14.6,17,30.4,49.599998,14.6,12.6,49.560001,24.790001,44,12.82,0,5.1374998,,1,AZ,4019
85745,Pima,10075.621,5,3,60.389999,88.160004,81,37.299999,21.4,21.200001,28.9,14.4,19.5,30.200001,45.799999,14.1,13,51.849998,50.240002,39,7.6300001,2,10.0132,557.27936,1,AZ,4019
85746,Pima,9962.79,5,3,62.709999,88.190002,71.169998,35.900002,21.5,20.299999,30.4,14.4,20.799999,32.200001,42.5,14.1,12.9,53.700001,77.260002,32,7.1500001,2,8.9637041,706.03302,1,AZ,4019
85747,Pima,17386.373,10,5,81.330002,93.900002,93.919998,39.799999,24,22.200001,25.200001,15.3,16.9,30.1,52.5,12.4,13.2,50.310001,25.17,35,17.040001,0,8.0170002,744.32202,1,AZ,4019
85748,Pima,14784.896,9,5,74.440002,92.300003,88.830002,38.799999,21.4,23.700001,23.700001,16.4,14.6,28.299999,54.5,12.7,11.3,49.889999,19.09,40,13.14,0,9.4099998,817.01001,1,AZ,4019
85749,Pima,16842.506,9,5,72.860001,88.040001,89.5,38.5,20.9,24.200001,22.700001,16.700001,13.3,28,56.099998,12.9,10.4,50.119999,10,55,13.07,0,5.8449998,,1,AZ,4019
85750,Pima,15383.966,9,5,71.410004,88.099998,88.239998,38.299999,19.799999,23.9,23.200001,16.799999,13.2,27,55.5,12.8,9.8999996,53.009998,8.7200003,54,12.89,0,6.1100001,791.26001,1,AZ,4019
85755,Pima,16771.098,9,5,72.370003,82.129997,95.290001,43,17.4,21.5,26.799999,15.5,14,27.799999,50.700001,14.9,9.8999996,51.099998,12.73,58,15.48,0,5.5283332,,1,AZ,4019
85756,Pima,9887.3525,5,3,64.269997,90.029999,79.139999,38.099998,21.5,21,29,13.8,20.6,31.200001,44.700001,13.2,12.5,39.790001,59.200001,35,11.3,2,7.4771428,645.07837,1,AZ,4019
85757,Pima,10792.046,6,3,60.040001,87.269997,73.68,38.400002,22.299999,20.700001,30,14.4,21.1,32.599998,42.900002,14.6,14.2,48.93,63.130001,33,13.08,2,8.1949997,471.0675,1,AZ,4019
85922,Greenlee,8514.4854,4,2,100,2.5,12.5,40.799999,,,34,,,34,40.799999,,,21.57,7.8400002,70,3.9200001,0,1.67,,7,AZ,4011
